,1447,1602,1690,2136,2285,2817,2991,3144,3243,3980,5680,6066,6266,7154,7257,7435,7906,8762,10903,11259,11264,12141,20779
1447,1.0,0.1077,0.017,0.0808,0.0,0.0,0.0146,0.0,0.0724,0.0352,0.0271,0.0,0.0,0.066,0.0056,0.0594,0.0,0.1072,0.0401,0.0429,0.0396,0.0499,0.0
1602,0.1077,1.0,0.0,0.0046,0.0093,0.0,0.0079,0.0,0.0064,0.0024,0.0,0.1263,0.0,0.2074,0.0048,0.0457,0.0,0.1344,0.0,0.0683,0.0029,0.0113,0.0595
1690,0.017,0.0,1.0,0.0936,0.0,0.0,0.0,0.0015,0.0,0.0089,0.0,0.0,0.0,0.0,0.0254,0.0257,0.0108,0.0,0.0354,0.0087,0.1041,0.1153,0.0
2136,0.0808,0.0046,0.0936,1.0,0.0,0.0053,0.0,0.0,0.0103,0.0348,0.0,0.0,0.0,0.0,0.0188,0.0,0.0,0.034,0.0184,0.0515,0.1076,0.1399,0.0
2285,0.0,0.0093,0.0,0.0,1.0,0.0,0.0212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0399,0.0,0.0,0.0,0.0,0.0161,0.034,0.01,0.0014
2817,0.0,0.0,0.0,0.0053,0.0,1.0,0.0292,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,0.0,0.003,0.0,0.0312
2991,0.0146,0.0079,0.0,0.0,0.0212,0.0292,1.0,0.0122,0.0,0.023,0.0,0.0,0.0,0.0024,0.0,0.0327,0.0133,0.0,0.0,0.0017,0.0,0.0,0.016
3144,0.0,0.0,0.0015,0.0,0.0,0.0,0.0122,1.0,0.0,0.0225,0.0,0.0016,0.0493,0.0,0.0,0.0275,0.0249,0.0,0.015,0.0,0.0004,0.0,0.0
3243,0.0,0.0595,0.0,0.0,0.0014,0.0312,0.016,0.0,1.0,0.0,0.0021,0.0,0.0,0.0358,0.0,0.033,0.0187,0.038,0.0081,0.0079,0.0,0.0128,0.0
3980,0.0724,0.0064,0.0,0.0103,0.0,0.0,0.0,0.0,0.0,1.0,0.0157,0.0,0.0205,0.0218,0.0089,0.0226,0.005,0.0,0.0483,0.0,0.0319,0.0,0.0477
5680,0.0352,0.0024,0.0089,0.0348,0.0,0.0087,0.023,0.0225,0.0,0.0,1.0,0.0,0.0,0.0,0.0012,0.0,0.0033,0.0204,0.0649,0.0771,0.034,0.0145,0.0
6066,0.0271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157,0.0,0.0,1.0,0.0,0.0,0.0097,0.0,0.0022,0.0,0.0035,0.0,0.0,0.0,0.0021
6266,0.0,0.1263,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,1.0,0.153,0.0151,0.021,0.0,0.0441,0.0156,0.0695,0.0087,0.0,0.0
7154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493,0.0205,0.0,0.0,0.0082,0.0,1.0,0.0,0.0,0.0293,0.0,0.0257,0.0,0.0147,0.0,0.0
7257,0.066,0.2074,0.0,0.0,0.0,0.0,0.0024,0.0,0.0218,0.0,0.0,0.153,0.0,0.0,1.0,0.0297,0.0114,0.0682,0.0,0.0689,0.0034,0.0249,0.0358
7435,0.0056,0.0048,0.0254,0.0188,0.0399,0.0,0.0,0.0,0.0089,0.0012,0.0097,0.0151,0.0,0.0253,0.0,1.0,0.0141,0.0,0.0181,0.0,0.0,0.0,0.0
7906,0.0594,0.0457,0.0257,0.0,0.0,0.0,0.0327,0.0275,0.0226,0.0,0.0,0.021,0.0,0.0297,0.0,0.0,1.0,0.0,0.0371,0.0198,0.0299,0.0208,0.033
8762,0.0,0.0,0.0108,0.0,0.0,0.0057,0.0133,0.0249,0.005,0.0033,0.0022,0.0,0.0293,0.0114,0.0141,0.008,0.0,1.0,0.1018,0.0324,0.0137,0.0429,0.0187
10903,0.1072,0.1344,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0204,0.0,0.0441,0.0,0.0682,0.0,0.0,0.0,0.0,1.0,0.1301,0.0016,0.0375,0.038
11259,0.0401,0.0,0.0354,0.0184,0.0,0.0,0.0,0.015,0.0483,0.0649,0.0035,0.0156,0.0257,0.0,0.0181,0.0371,0.1018,0.0171,0.0,1.0,0.0261,0.0,0.0081
11264,0.0429,0.0683,0.0087,0.0515,0.0161,0.0,0.0017,0.0,0.0,0.0771,0.0,0.0695,0.0,0.0689,0.0,0.0198,0.0324,0.1301,0.0926,0.0,1.0,0.0015,0.0079
12141,0.0396,0.0029,0.1041,0.1076,0.034,0.003,0.0,0.0004,0.0319,0.034,0.0,0.0087,0.0147,0.0034,0.0,0.0299,0.0137,0.0016,0.0261,0.0286,0.0,1.0,0.0
20779,0.0499,0.0113,0.1153,0.1399,0.01,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0249,0.0,0.0208,0.0429,0.0375,0.0,0.0015,0.1675,0.0,1.0
