"","AAPL","AMGN","AXP","BA","CAT","CRM","CSCO","CVX","DIS","DOW","GS","HD","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PG","TRV","UNH","V","VZ","WBA","WMT"
"1996-01-29",0.260045,14.71875,12.69185,38.5625,15.9375,NA,4.506945,26.3125,20.305458,NA,NA,9.777778,26.625,6.804688,23.5625,22,18.5625,25.1875,32.5625,34.4375,5.648438,4.296875,21.34375,29.125,7.734375,NA,30.352142,8.28125,10
"1996-01-30",0.243862,15.328125,13.093029,38.8125,16.09375,NA,4.569445,25.875,20.92202,NA,NA,9.944445,27.15625,6.765625,24.09375,22.25,18.8125,25.125,32.1875,35.0625,5.675781,4.3125,21.21875,28.3125,7.734375,NA,30.40835,8.5625,10.0625
"1996-01-31",0.246652,15.03125,13.421267,38.75,16.09375,NA,4.625,25.9375,21.127542,NA,NA,10.222222,27.125,6.904297,24,22.333334,18.84375,25.125,32.25,35.0625,5.78125,4.359375,21,28.5,7.84375,NA,30.970427,8.71875,10.1875
"1996-02-01",0.253348,15.75,13.020087,38.9375,16.03125,NA,4.763889,26.5625,20.510979,NA,NA,10.25,27.25,7.03125,23.59375,21.958334,18.875,25,32.625,35,5.882813,4.226563,20.96875,28.5625,7.890625,NA,31.026634,9.03125,10.875
"1996-02-02",0.261161,15.09375,13.056559,39,15.84375,NA,4.694445,26.375,20.387667,NA,NA,10.111111,27.40625,7.09375,23.96875,21.75,18.78125,25,32.8125,34.6875,5.8125,4.242188,20.84375,28.375,7.9375,NA,30.970427,8.65625,10.75
"1996-02-05",0.261161,15.25,13.275383,39.75,15.6875,NA,4.875,26.125,20.264355,NA,NA,10.194445,28.0625,7.3125,24.46875,21.791666,19.0625,25.25,33.3125,34.5625,6.070313,4.226563,20.9375,28.5625,7.84375,NA,31.363882,8.71875,11.125
"1996-02-06",0.264509,15.1875,13.275383,40.0625,15.875,NA,4.972222,26.0625,20.593187,NA,NA,10.027778,28.6875,7.4375,24.28125,22.125,19.15625,25.8125,33.375,33.6875,6.03125,4.21875,20.6875,29,7.8125,NA,31.757336,8.84375,11.0625
"1996-02-07",0.252232,15.6875,13.384796,39.9375,15.96875,NA,4.927083,25.992188,20.963125,NA,NA,10.166667,28.15625,7.28125,24.25,22.333334,19.5,26.625,33.5625,34.5,6.054688,4.257813,20.9375,28.5,7.828125,NA,32.544243,8.875,11.3125
"1996-02-08",0.248884,15.59375,13.822446,39.75,16.28125,NA,4.9375,26.5,20.92202,NA,NA,10.333333,28.375,7.234375,24.6875,22.375,20.0625,26.75,34.125,35,6.179688,4.273438,21.5,29.375,8.078125,NA,32.319412,8.96875,11.3125
"1996-02-09",0.247768,15.6875,13.822446,41.3125,16.15625,NA,5.069445,27.375,20.634293,NA,NA,10.444445,28.375,7.25,24.78125,22.291666,19.90625,26.375,34.1875,35,6.257813,4.25,21.9375,29,8.0625,NA,32.544243,8.90625,11.1875
