,1447,1690,2136,2285,2817,2991,3144,3243,3980,6066,7154,7257,7435,10903
1447,1.0,0.0,0.1133,0.0008,0.0,0.0728,0.0495,0.1222,0.0265,0.0,0.0,0.0238,0.0345,0.1316
1690,0.0,1.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0284,0.0449,0.0,0.0139,0.0136,0.0088
2136,0.1133,0.0086,1.0,0.0152,0.0,0.0255,0.0,0.0545,0.0109,0.0,0.0,0.0,0.0056,0.0679
2285,0.0008,0.0,0.0152,1.0,0.0,0.0132,0.0,0.0,0.0,0.0588,0.0,0.0,0.0216,0.0
2817,0.0,0.0,0.0,0.0,1.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0172
2991,0.0728,0.0,0.0255,0.0132,0.0048,1.0,0.047,0.0062,0.031,0.0,0.0,0.0,0.0017,0.0
3144,0.0495,0.0,0.0,0.0,0.0,0.047,1.0,0.0,0.0938,0.0,0.0269,0.0204,0.0162,0.0
3243,0.1222,0.0,0.0545,0.0,0.0,0.0062,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.053
3980,0.0265,0.0284,0.0109,0.0,0.0,0.031,0.0938,0.0,1.0,0.0,0.0,0.0,0.0085,0.0
6066,0.0,0.0449,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0084
7154,0.0,0.0,0.0,0.0,0.0,0.0,0.0269,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7257,0.0238,0.0139,0.0,0.0,0.0,0.0,0.0204,0.0,0.0,0.0,0.0,1.0,0.0236,0.0011
7435,0.0345,0.0136,0.0056,0.0216,0.0126,0.0017,0.0162,0.0,0.0085,0.0,0.0,0.0236,1.0,0.0017
10903,0.1316,0.0088,0.0679,0.0,0.0172,0.0,0.0,0.053,0.0,0.0084,0.0,0.0011,0.0017,1.0
