,1447,1602,1690,2136,2285,2817,2991,3144,3243,3980,5680,6066,6266,7154,7257,7435,8762,10903,11259,11264,12141
1447,1.0,0.0193,0.0126,0.1303,0.0016,0.0,0.0785,0.0838,0.2633,0.0466,0.0,0.0,0.0123,0.0,0.0234,0.0384,0.0,0.0987,0.019,0.0108,0.0661
1602,0.0193,1.0,0.0,0.0,0.0045,0.0,0.0149,0.0207,0.0036,0.0114,0.0,0.0045,0.1218,0.0,0.1327,0.0238,0.0,0.0,0.0,0.0,0.0121
1690,0.0126,0.0,1.0,0.0,0.0209,0.0,0.0,0.0055,0.0066,0.0093,0.019,0.0486,0.0,0.0,0.0311,0.0041,0.0,0.0,0.0,0.0,0.1047
2136,0.1303,0.0,0.0,1.0,0.0308,0.0,0.0569,0.04,0.0953,0.0152,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0171
2285,0.0016,0.0045,0.0209,0.0308,1.0,0.0,0.0135,0.0,0.0052,0.0011,0.0,0.0663,0.0004,0.0,0.0,0.0297,0.0,0.0122,0.0,0.0,0.0023
2817,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2991,0.0785,0.0149,0.0,0.0569,0.0135,0.0,1.0,0.0649,0.0369,0.0309,0.0,0.0,0.0,0.0,0.0044,0.0249,0.0,0.0,0.0225,0.0,0.0202
3144,0.0838,0.0207,0.0055,0.04,0.0,0.0,0.0649,1.0,0.045,0.0474,0.0,0.0,0.0264,0.0103,0.0403,0.0,0.0152,0.0193,0.0,0.008,0.0115
3243,0.2633,0.0036,0.0066,0.0953,0.0052,0.008,0.0369,0.045,1.0,0.0151,0.008,0.0,0.0141,0.0,0.0098,0.0086,0.0,0.0838,0.0403,0.0,0.0
3980,0.0466,0.0114,0.0093,0.0152,0.0011,0.0,0.0309,0.0474,0.0151,1.0,0.0024,0.0,0.0075,0.0,0.0,0.0047,0.0,0.0,0.0266,0.0115,0.0832
5680,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.008,0.0024,1.0,0.0,0.0,0.0,0.0004,0.0158,0.0,0.0,0.0743,0.06,0.0
6066,0.0,0.0045,0.0486,0.0,0.0663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0186,0.0096,0.0,0.0,0.0152,0.0253
6266,0.0123,0.1218,0.0,0.0003,0.0004,0.0,0.0,0.0264,0.0141,0.0075,0.0,0.0,1.0,0.0148,0.1487,0.0441,0.0097,0.0422,0.0071,0.0093,0.0203
7154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0,0.0,0.0,0.0,0.0148,1.0,0.0,0.0,0.0097,0.0,0.0031,0.0374,0.0
7257,0.0234,0.1327,0.0311,0.0,0.0,0.0,0.0044,0.0403,0.0098,0.0,0.0004,0.0,0.1487,0.0,1.0,0.0133,0.0164,0.013999999999999999,0.0,0.0,0.0084
7435,0.0384,0.0238,0.0041,0.0,0.0297,0.0,0.0249,0.0,0.0086,0.0047,0.0158,0.0186,0.0441,0.0,0.0133,1.0,0.0051,0.0,0.0,0.0,0.0443
8762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0096,0.0097,0.0097,0.0164,0.0051,1.0,0.0,0.0,0.0253,0.0085
10903,0.0987,0.0,0.0,0.0161,0.0122,0.0,0.0,0.0193,0.0838,0.0,0.0,0.0,0.0422,0.0,0.013999999999999999,0.0,0.0,1.0,0.0214,0.0172,0.0
11259,0.019,0.0,0.0,0.0,0.0,0.0,0.0225,0.0,0.0403,0.0266,0.0743,0.0,0.0071,0.0031,0.0,0.0,0.0,0.0214,1.0,0.0586,0.0
11264,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0115,0.06,0.0152,0.0093,0.0374,0.0,0.0,0.0253,0.0172,0.0586,1.0,0.0
12141,0.0661,0.0121,0.1047,0.0171,0.0023,0.0,0.0202,0.0115,0.0,0.0832,0.0,0.0253,0.0203,0.0,0.0084,0.0443,0.0085,0.0,0.0,0.0,1.0
