,6649,7923,5046,3413,6565,3439,7875,11465,11550,1209,9783,6066,8455,6730,11228,4423,3735,1487,4383,7982,1440,2184,11220,10519,1913,8810,8358,8479,10407,1075,14225,11811,9778,6104,8253,12141,3144,2019,10247,6304,1078,8823,9882,6375,13700,2111,4973,4058,5256,4885
6649,1.0,0.0,0.0431,0.011000000000000001,0.0064,0.0126,0.0335,0.0396,0.0265,0.0053,0.0,0.0,0.0084,0.0,0.0,0.0,0.034,0.0,0.0289,0.0,0.0065,0.0514,0.0096,0.0318,0.0,0.0611,0.0082,0.0283,0.0,0.0296,0.0,0.0459,0.0086,0.0486,0.0059,0.0,0.0133,0.0,0.0302,0.0,0.0115,0.0045,0.0027,0.0077,0.0232,0.0,0.0769,0.0,0.0189,0.0
7923,0.0,1.0,0.0372,0.0807,0.0,0.0485,0.0,0.0,0.0758,0.0252,0.0,0.0,0.11900000000000001,0.0,0.0743,0.0,0.0006,0.0,0.0832,0.0,0.1155,0.0,0.0212,0.0232,0.073,0.0638,0.0164,0.0,0.0,0.0138,0.0,0.0136,0.0,0.0255,0.0,0.0,0.0,0.0021,0.0,0.0,0.0396,0.061,0.0,0.0,0.0,0.0,0.0206,0.0046,0.0,0.0
5046,0.0431,0.0372,1.0,0.0162,0.0539,0.0,0.0,0.0,0.0006,0.0138,0.0,0.0,0.0172,0.0186,0.0043,0.0,0.0745,0.0177,0.0041,0.0,0.0,0.0384,0.0124,0.1118,0.0128,0.0784,0.0074,0.0265,0.0,0.0227,0.013000000000000001,0.0555,0.0,0.0015,0.0555,0.0,0.0,0.0,0.0443,0.0127,0.0027,0.0318,0.0,0.0329,0.0192,0.0,0.0589,0.0296,0.0,0.0
3413,0.011000000000000001,0.0807,0.0162,1.0,0.0,0.1275,0.0,0.0265,0.1834,0.0,0.0492,0.0,0.1821,0.0,0.0,0.0,0.0161,0.0258,0.0896,0.0779,0.1662,0.0231,0.0198,0.0,0.242,0.0127,0.0199,0.0,0.0679,0.0124,0.0,0.0,0.0,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0516,0.0634,0.0,0.0,0.0745,0.0058,0.006,0.0,0.0,0.0
6565,0.0064,0.0,0.0539,0.0,1.0,0.0,0.0,0.0,0.0,0.0474,0.0,0.0,0.0,0.0009,0.0,0.0,0.0706,0.0137,0.0,0.0,0.0,0.0327,0.0,0.0054,0.0065,0.0362,0.0112,0.0136,0.0,0.0133,0.0203,0.0,0.0,0.0,0.0403,0.0,0.0,0.0,0.2368,0.0,0.0019,0.0007,0.0,0.0279,0.0005,0.0,0.0386,0.0,0.0,0.017
3439,0.0126,0.0485,0.0,0.1275,0.0,1.0,0.0,0.0408,0.1672,0.0,0.0,0.0247,0.1233,0.0,0.0,0.0,0.0,0.0,0.0763,0.0,0.1369,0.0218,0.0,0.0,0.1077,0.0225,0.0198,0.0,0.09699999999999999,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0,0.0124,0.0231,0.0266,0.0,0.0093,0.0,0.0062,0.0052,0.0,0.0074
7875,0.0335,0.0,0.0,0.0,0.0,0.0,1.0,0.0207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0403,0.0,0.0,0.0,0.0338,0.0509,0.0131,0.0,0.0,0.0074,0.001,0.0,0.0,0.0278,0.0043,0.0,0.0383,0.0159,0.0112,0.0,0.0,0.0192,0.0,0.0156,0.0,0.0391,0.0,0.0,0.0156
11465,0.0396,0.0,0.0,0.0265,0.0,0.0408,0.0207,1.0,0.0112,0.0243,0.0657,0.0904,0.0,0.0124,0.034,0.0353,0.0134,0.0992,0.0087,0.0669,0.0499,0.0054,0.004,0.0085,0.0785,0.0,0.0862,0.0,0.0,0.0,0.001,0.0093,0.0362,0.0174,0.0,0.0,0.0225,0.0,0.0123,0.0,0.0988,0.0237,0.0199,0.0099,0.1841,0.0377,0.0157,0.0,0.0,0.0
11550,0.0265,0.0758,0.0006,0.1834,0.0,0.1672,0.0,0.0112,1.0,0.0,0.0,0.0,0.1636,0.0,0.0578,0.0,0.0242,0.013999999999999999,0.1193,0.0,0.2037,0.004,0.0037,0.0,0.1709,0.0093,0.0167,0.0,0.0677,0.0179,0.0,0.0,0.0597,0.0241,0.0,0.0,0.0,0.0,0.0065,0.004,0.0453,0.0433,0.0,0.0,0.0136,0.0,0.028999999999999998,0.0,0.0,0.0
