,6649,7923,5046,3413,6565,3439,7875,11465,11550,1209,9783,6066,8455,6730,11228,4423,3735,1487,4383,7982,1440,2184,11220,10519,1913,8810,8358,8479,10407,14225,11811,9778,6104,8253,12141,3144,2019,10247,6304,1078,8823,9882,6375,13700,2111,4973,4058,5256,4885
6649,1.0,0.0,0.0612,0.0,0.0375,0.0198,0.0616,0.0113,0.0,0.0643,0.0,0.049,0.0,0.0,0.0039,0.0,0.0546,0.0108,0.0019,0.0,0.0155,0.0385,0.0085,0.0137,0.0,0.0824,0.0006,0.0459,0.0313,0.0,0.0348,0.0133,0.0622,0.0343,0.0035,0.0347,0.0278,0.0683,0.0,0.0058,0.0,0.0168,0.0379,0.0371,0.0,0.0754,0.0035,0.0164,0.0
7923,0.0,1.0,0.0,0.0004,0.0,0.0204,0.0,0.0574,0.02,0.0212,0.0168,0.0,0.0144,0.0,0.033,0.0,0.0,0.0,0.0019,0.0227,0.0582,0.0,0.0,0.0,0.0119,0.0578,0.0,0.0,0.0,0.0,0.0,0.0232,0.0066,0.0,0.0,0.0075,0.0404,0.0,0.0,0.0,0.0366,0.0,0.0315,0.0,0.0329,0.0128,0.0,0.0105,0.0
5046,0.0612,0.0,1.0,0.0,0.0154,0.0,0.0215,0.0,0.0088,0.0182,0.0,0.0392,0.0108,0.0,0.0304,0.0,0.0675,0.0,0.0,0.0,0.0199,0.0301,0.0,0.1068,0.0236,0.0467,0.0,0.0269,0.0181,0.013999999999999999,0.013000000000000001,0.0,0.0,0.0436,0.0,0.0187,0.0,0.0344,0.0,0.0,0.0426,0.0,0.05,0.0259,0.0,0.0539,0.0328,0.0,0.0099
3413,0.0,0.0004,0.0,1.0,0.0,0.1404,0.0,0.0,0.1343,0.0,0.0,0.0,0.1502,0.0,0.0,0.0,0.0259,0.0,0.1179,0.0,0.1351,0.0035,0.0557,0.0065,0.1084,0.0277,0.0,0.0,0.0,0.0,0.0255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0071,0.008,0.0299,0.0,0.0,0.0171,0.0,0.0,0.0,0.0124
6565,0.0375,0.0,0.0154,0.0,1.0,0.0079,0.0069,0.0067,0.0116,0.0384,0.0,0.0501,0.0178,0.0,0.0,0.0057,0.0282,0.0066,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,0.0456,0.0,0.0224,0.0059,0.0,0.0,0.0037,0.0,0.015,0.0,0.0087,0.0,0.1722,0.02,0.0,0.0021,0.008,0.0104,0.0279,0.0,0.0317,0.0,0.0,0.0255
3439,0.0198,0.0204,0.0,0.1404,0.0079,1.0,0.0073,0.0536,0.2009,0.0,0.0,0.0155,0.1528,0.0,0.0,0.0036,0.0317,0.0012,0.11599999999999999,0.0001,0.1946,0.0,0.0038,0.0089,0.15,0.0216,0.0,0.0153,0.0,0.0,0.0181,0.0,0.0086,0.0,0.0,0.0,0.0216,0.0,0.0,0.0261,0.0323,0.0347,0.005,0.0147,0.0044,0.0407,0.0,0.0137,0.0262
7875,0.0616,0.0,0.0215,0.0,0.0069,0.0073,1.0,0.0078,0.0,0.0,0.0,0.0633,0.0,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.0386,0.0,0.0,0.0,0.0293,0.0196,0.0095,0.0,0.0262,0.0264,0.0,0.0,0.0255,0.0173,0.0,0.028999999999999998,0.0266,0.005,0.0,0.0,0.0285,0.0212,0.0226,0.0,0.0514,0.0,0.0,0.0162
11465,0.0113,0.0574,0.0,0.0,0.0067,0.0536,0.0078,1.0,0.0184,0.0213,0.102,0.06,0.0233,0.0097,0.0016,0.0211,0.0282,0.0491,0.0532,0.1049,0.054000000000000006,0.0109,0.0286,0.0,0.0718,0.0,0.0,0.0,0.0,0.0146,0.0044,0.0211,0.0,0.0125,0.0,0.1045,0.0088,0.0077,0.0,0.0232,0.0,0.0234,0.0461,0.0461,0.0329,0.0302,0.0,0.0696,0.0164
11550,0.0,0.02,0.0088,0.1343,0.0116,0.2009,0.0,0.0184,1.0,0.0,0.0,0.0,0.1634,0.0,0.0781,0.0,0.0223,0.0181,0.1588,0.0,0.1845,0.0,0.0467,0.0,0.1601,0.022000000000000002,0.0,0.0,0.0,0.0043,0.0054,0.0081,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0542,0.0448,0.0,0.0,0.0,0.0292,0.0153,0.0,0.0,0.0131
