,CUSIP,date,PERMNO,TICKER,gvkey
1,97510,6/30/95,81599,ANET,31757
2,97510,9/30/95,81599,ANET,31757
3,97510,12/31/95,81599,ANET,31757
4,97510,3/31/96,81599,ANET,31757
5,97510,6/30/96,81599,ANET,31757
6,97510,9/30/96,81599,ANET,31757
7,97510,12/31/96,81599,ANET,31757
8,97510,3/31/97,81599,ANET,31757
9,97510,6/30/97,81599,ANET,31757
10,97510,9/30/97,81599,ANET,31757
11,97510,12/31/97,81599,ANET,31757
12,97510,3/31/98,81599,ANET,31757
13,97510,6/30/98,81599,ANET,31757
14,97510,9/30/98,81599,ANET,31757
15,97510,12/31/98,81599,ANET,31757
16,97510,3/31/99,81599,ANET,31757
17,97510,6/30/99,81599,ANET,31757
18,97510,9/30/99,81599,ANET,31757
19,97510,12/31/99,81599,ANET,31757
20,97510,3/31/00,81599,ANET,31757
21,97510,6/30/00,81599,ANET,31757
22,105510,3/31/82,57904,AFL,1449
23,105510,6/30/82,57904,AFL,1449
24,105510,9/30/82,57904,AFL,1449
25,105510,12/31/82,57904,AFL,1449
26,105510,3/31/83,57904,AFL,1449
27,105510,6/30/83,57904,AFL,1449
28,105510,9/30/83,57904,AFL,1449
29,105510,12/31/83,57904,AFL,1449
30,105510,3/31/84,57904,AFL,1449
31,105510,6/30/84,57904,AFL,1449
32,105510,9/30/84,57904,AFL,1449
33,105510,12/31/84,57904,AFL,1449
34,105510,3/31/85,57904,AFL,1449
35,105510,6/30/85,57904,AFL,1449
36,105510,9/30/85,57904,AFL,1449
37,105510,12/31/85,57904,AFL,1449
38,105510,3/31/86,57904,AFL,1449
39,105510,6/30/86,57904,AFL,1449
40,105510,9/30/86,57904,AFL,1449
41,105510,12/31/86,57904,AFL,1449
42,105510,3/31/87,57904,AFL,1449
43,105510,6/30/87,57904,AFL,1449
44,105510,9/30/87,57904,AFL,1449
45,105510,12/31/87,57904,AFL,1449
46,105510,3/31/88,57904,AFL,1449
47,105510,6/30/88,57904,AFL,1449
48,105510,9/30/88,57904,AFL,1449
49,105510,12/31/88,57904,AFL,1449
50,105510,3/31/89,57904,AFL,1449
51,105510,6/30/89,57904,AFL,1449
52,105510,9/30/89,57904,AFL,1449
53,105510,12/31/89,57904,AFL,1449
54,105510,3/31/90,57904,AFL,1449
55,105510,6/30/90,57904,AFL,1449
56,105510,9/30/90,57904,AFL,1449
57,105510,12/31/90,57904,AFL,1449
58,105510,3/31/91,57904,AFL,1449
59,105510,6/30/91,57904,AFL,1449
60,105510,9/30/91,57904,AFL,1449
61,105510,12/31/91,57904,AFL,1449
62,105510,3/31/92,57904,AFL,1449
63,105510,6/30/92,57904,AFL,1449
64,105510,9/30/92,57904,AFL,1449
65,105510,12/31/92,57904,AFL,1449
66,105510,3/31/93,57904,AFL,1449
67,105510,6/30/93,57904,AFL,1449
68,105510,9/30/93,57904,AFL,1449
69,105510,12/31/93,57904,AFL,1449
70,105510,3/31/94,57904,AFL,1449
71,105510,6/30/94,57904,AFL,1449
72,105510,9/30/94,57904,AFL,1449
73,105510,12/31/94,57904,AFL,1449
74,105510,3/31/95,57904,AFL,1449
75,105510,6/30/95,57904,AFL,1449
76,105510,9/30/95,57904,AFL,1449
77,105510,12/31/95,57904,AFL,1449
78,105510,3/31/96,57904,AFL,1449
79,105510,6/30/96,57904,AFL,1449
80,105510,9/30/96,57904,AFL,1449
81,105510,12/31/96,57904,AFL,1449
82,105510,3/31/97,57904,AFL,1449
83,105510,6/30/97,57904,AFL,1449
84,105510,9/30/97,57904,AFL,1449
85,105510,12/31/97,57904,AFL,1449
86,105510,3/31/98,57904,AFL,1449
87,105510,6/30/98,57904,AFL,1449
88,105510,9/30/98,57904,AFL,1449
89,105510,12/31/98,57904,AFL,1449
90,105510,3/31/99,57904,AFL,1449
91,105510,6/30/99,57904,AFL,1449
92,105510,9/30/99,57904,AFL,1449
93,105510,12/31/99,57904,AFL,1449
94,105510,3/31/00,57904,AFL,1449
95,105510,6/30/00,57904,AFL,1449
96,105510,9/30/00,57904,AFL,1449
97,105510,12/31/00,57904,AFL,1449
98,105510,3/31/01,57904,AFL,1449
99,105510,6/30/01,57904,AFL,1449
100,105510,9/30/01,57904,AFL,1449
101,105510,12/31/01,57904,AFL,1449
102,105510,3/31/02,57904,AFL,1449
103,105510,6/30/02,57904,AFL,1449
104,105510,9/30/02,57904,AFL,1449
105,105510,12/31/02,57904,AFL,1449
106,105510,3/31/03,57904,AFL,1449
107,105510,6/30/03,57904,AFL,1449
108,105510,9/30/03,57904,AFL,1449
109,105510,12/31/03,57904,AFL,1449
110,105510,3/31/04,57904,AFL,1449
111,105510,6/30/04,57904,AFL,1449
112,105510,9/30/04,57904,AFL,1449
113,105510,12/31/04,57904,AFL,1449
114,105510,3/31/05,57904,AFL,1449
115,105510,6/30/05,57904,AFL,1449
116,105510,9/30/05,57904,AFL,1449
117,105510,12/31/05,57904,AFL,1449
118,105510,3/31/06,57904,AFL,1449
119,105510,6/30/06,57904,AFL,1449
120,105510,9/30/06,57904,AFL,1449
121,105510,12/31/06,57904,AFL,1449
122,105510,3/31/07,57904,AFL,1449
123,105510,6/30/07,57904,AFL,1449
124,105510,9/30/07,57904,AFL,1449
125,105510,12/31/07,57904,AFL,1449
126,105510,3/31/08,57904,AFL,1449
127,105510,6/30/08,57904,AFL,1449
128,105510,9/30/08,57904,AFL,1449
129,105510,12/31/08,57904,AFL,1449
130,105510,3/31/09,57904,AFL,1449
131,105510,6/30/09,57904,AFL,1449
132,105510,9/30/09,57904,AFL,1449
133,105510,12/31/09,57904,AFL,1449
134,105510,3/31/10,57904,AFL,1449
135,105510,6/30/10,57904,AFL,1449
136,105510,9/30/10,57904,AFL,1449
137,105510,12/31/10,57904,AFL,1449
138,105510,3/31/11,57904,AFL,1449
139,105510,6/30/11,57904,AFL,1449
140,105510,9/30/11,57904,AFL,1449
141,105510,12/31/11,57904,AFL,1449
142,105510,3/31/12,57904,AFL,1449
143,105510,6/30/12,57904,AFL,1449
144,105510,9/30/12,57904,AFL,1449
145,105510,12/31/12,57904,AFL,1449
146,105510,3/31/13,57904,AFL,1449
147,105510,6/30/13,57904,AFL,1449
148,105510,9/30/13,57904,AFL,1449
149,105510,12/31/13,57904,AFL,1449
150,105510,3/31/14,57904,AFL,1449
151,105510,6/30/14,57904,AFL,1449
152,105510,9/30/14,57904,AFL,1449
153,105510,12/31/14,57904,AFL,1449
154,105510,3/31/15,57904,AFL,1449
155,105510,6/30/15,57904,AFL,1449
156,105510,9/30/15,57904,AFL,1449
157,105510,12/31/15,57904,AFL,1449
158,105510,3/31/16,57904,AFL,1449
159,105510,6/30/16,57904,AFL,1449
160,105510,9/30/16,57904,AFL,1449
161,105510,12/31/16,57904,AFL,1449
162,105510,3/31/17,57904,AFL,1449
163,105510,6/30/17,57904,AFL,1449
164,105510,9/30/17,57904,AFL,1449
165,105510,12/31/17,57904,AFL,1449
166,105510,3/31/18,57904,AFL,1449
167,105510,6/30/18,57904,AFL,1449
168,105510,9/30/18,57904,AFL,1449
169,105510,12/31/18,57904,AFL,1449
170,105510,3/31/19,57904,AFL,1449
171,105510,6/30/19,57904,AFL,1449
172,105510,9/30/19,57904,AFL,1449
173,105510,12/31/19,57904,AFL,1449
174,00130H10,12/31/96,76712,AES,24216
175,00130H10,3/31/97,76712,AES,24216
176,00130H10,6/30/97,76712,AES,24216
177,00130H10,9/30/97,76712,AES,24216
178,00130H10,12/31/97,76712,AES,24216
179,00130H10,3/31/98,76712,AES,24216
180,00130H10,6/30/98,76712,AES,24216
181,00130H10,9/30/98,76712,AES,24216
182,00130H10,12/31/98,76712,AES,24216
183,00130H10,3/31/99,76712,AES,24216
184,00130H10,6/30/99,76712,AES,24216
185,00130H10,9/30/99,76712,AES,24216
186,00130H10,12/31/99,76712,AES,24216
187,00130H10,3/31/00,76712,AES,24216
188,00130H10,6/30/00,76712,AES,24216
189,00130H10,9/30/00,76712,AES,24216
190,00130H10,12/31/00,76712,AES,24216
191,00130H10,3/31/01,76712,AES,24216
192,00130H10,6/30/01,76712,AES,24216
193,00130H10,9/30/01,76712,AES,24216
194,00130H10,12/31/01,76712,AES,24216
195,00130H10,3/31/02,76712,AES,24216
196,00130H10,6/30/02,76712,AES,24216
197,00130H10,9/30/02,76712,AES,24216
198,00130H10,12/31/02,76712,AES,24216
