PERMNO,date,RETX
10145,09/18/1990,0.000000
10145,09/19/1990,0.012658
10145,09/20/1990,-0.008333
10145,09/21/1990,-0.037815
10145,09/24/1990,0.004367
10145,09/25/1990,0.021739
10145,09/26/1990,-0.008511
10145,09/27/1990,-0.008584
10145,09/28/1990,-0.034632
10145,10/01/1990,0.000000
10145,10/02/1990,0.049327
10145,10/03/1990,-0.012821
10145,10/04/1990,0.030303
10145,10/05/1990,0.000000
10145,10/08/1990,-0.016807
10145,10/09/1990,-0.059829
10145,10/10/1990,-0.036364
10145,10/11/1990,-0.004717
10145,10/12/1990,0.014218
10145,10/15/1990,-0.014019
10145,10/16/1990,-0.009479
10145,10/17/1990,-0.028708
10145,10/18/1990,0.014778
10145,10/19/1990,-0.009709
10145,10/22/1990,0.009804
10145,10/23/1990,-0.019417
10145,10/24/1990,0.009901
10145,10/25/1990,-0.009804
10145,10/26/1990,0.000000
10145,10/29/1990,0.000000
10145,10/30/1990,0.019802
10145,10/31/1990,-0.024272
10145,11/01/1990,0.009950
10145,11/02/1990,0.024631
10145,11/05/1990,0.009615
10145,11/06/1990,-0.019048
10145,11/07/1990,-0.009709
10145,11/08/1990,0.029412
10145,11/09/1990,-0.004762
10145,11/12/1990,0.004785
10145,11/13/1990,0.004762
10145,11/14/1990,0.014218
10145,11/15/1990,0.023364
10145,11/16/1990,-0.004566
10145,11/19/1990,0.009174
10145,11/20/1990,-0.013636
10145,11/21/1990,0.013825
10145,11/23/1990,-0.009091
10145,11/26/1990,-0.004587
10145,11/27/1990,-0.004608
10145,11/28/1990,0.009259
10145,11/29/1990,-0.009174
10145,11/30/1990,0.027778
10145,12/03/1990,0.009009
10145,12/04/1990,-0.004464
10145,12/05/1990,-0.013453
10145,12/06/1990,0.018182
10145,12/07/1990,-0.040179
10145,12/10/1990,0.000000
10145,12/11/1990,-0.009302
10145,12/12/1990,0.028169
10145,12/13/1990,0.000000
10145,12/14/1990,-0.022831
10145,12/17/1990,0.009346
10145,12/18/1990,0.000000
10145,12/19/1990,0.004630
10145,12/20/1990,0.004608
10145,12/21/1990,0.013761
10145,12/24/1990,-0.004525
10145,12/26/1990,-0.004545
10145,12/27/1990,-0.018265
10145,12/28/1990,0.000000
10145,12/31/1990,0.004651
10145,01/02/1991,0.037037
10145,01/03/1991,-0.004464
10145,01/04/1991,-0.004484
10145,01/07/1991,-0.027027
10145,01/08/1991,-0.004630
10145,01/09/1991,-0.013953
10145,01/10/1991,0.009434
10145,01/11/1991,-0.004673
10145,01/14/1991,-0.028169
10145,01/15/1991,0.009662
10145,01/16/1991,0.014354
10145,01/17/1991,0.070755
10145,01/18/1991,0.017621
10145,01/21/1991,-0.021645
10145,01/22/1991,-0.035398
