,shrink 0 pct,shrink 50 pct,shrink 100 pct,linear shrinkage,non-linear,OAS,DQN,REINFORCE,MST stock,MST TBN
TBN,0.4440837250609011,0.3495945214891935,-0.4306678026092868,0.47174544933427337,0.4493736095780695,0.45941390283376105,0.12298722286855063,-0.4900416248841023,-0.056444645227656756,0.6670696614180548
Scaled TBN,0.4440837250609011,-0.13057180272496016,0.38717630838167216,0.47174544933427337,0.4493736095780695,0.45941390283376105,-0.2867499618014783,0.18547059570165567,-0.056444645227656756,0.013162582591968574
Identity,0.4440837250609011,0.5077689456678524,0.5732325381387704,0.47174544933427337,0.4493736095780695,0.45941390283376105,0.5064846755333977,0.503570974337559,-0.056444645227656756,0.5217183854840939
